date,hour,price,dateF
01/01/2024,1,14.19,2024-01-01
01/01/2024,1,14.93,2024-01-01
01/01/2024,1,15.93,2024-01-01
01/01/2024,1,16.05,2024-01-01
01/01/2024,2,15.84,2024-01-01
01/01/2024,2,16.6,2024-01-01
01/01/2024,2,16.9,2024-01-01
01/01/2024,2,16.28,2024-01-01
01/01/2024,3,16.06,2024-01-01
01/01/2024,3,17.15,2024-01-01
01/01/2024,3,17.23,2024-01-01
01/01/2024,3,17.54,2024-01-01
01/01/2024,4,17.71,2024-01-01
01/01/2024,4,17.89,2024-01-01
01/01/2024,4,17.97,2024-01-01
01/01/2024,4,18.24,2024-01-01
01/01/2024,5,20.5,2024-01-01
01/01/2024,5,19.49,2024-01-01
01/01/2024,5,20.79,2024-01-01
01/01/2024,5,21.85,2024-01-01
01/01/2024,6,24.28,2024-01-01
01/01/2024,6,21.8,2024-01-01
01/01/2024,6,22.08,2024-01-01
01/01/2024,6,21.72,2024-01-01
01/01/2024,7,27.57,2024-01-01
01/01/2024,7,26.06,2024-01-01
01/01/2024,7,24.81,2024-01-01
01/01/2024,7,26.31,2024-01-01
01/01/2024,8,27.9,2024-01-01
01/01/2024,8,30.04,2024-01-01
01/01/2024,8,33.91,2024-01-01
01/01/2024,8,32.5,2024-01-01
01/01/2024,9,68.65,2024-01-01
01/01/2024,9,45.07,2024-01-01
01/01/2024,9,26.05,2024-01-01
01/01/2024,9,20.61,2024-01-01
01/01/2024,10,21.76,2024-01-01
01/01/2024,10,22.82,2024-01-01
01/01/2024,10,21.68,2024-01-01
01/01/2024,10,23.05,2024-01-01
01/01/2024,11,22.93,2024-01-01
01/01/2024,11,22.37,2024-01-01
01/01/2024,11,21.98,2024-01-01
01/01/2024,11,21.63,2024-01-01
01/01/2024,12,21.3,2024-01-01
01/01/2024,12,21.36,2024-01-01
01/01/2024,12,21.25,2024-01-01
01/01/2024,12,21.08,2024-01-01
01/01/2024,13,20.99,2024-01-01
01/01/2024,13,20.43,2024-01-01
01/01/2024,13,20.67,2024-01-01
01/01/2024,13,19.35,2024-01-01
01/01/2024,14,18.08,2024-01-01
01/01/2024,14,18.57,2024-01-01
01/01/2024,14,18.47,2024-01-01
